"Package","Class","Method","Groups","Priority","Enabled","Desc"
"accessibility","AccessibilityTests","testWelcomePageAccessibility","none","1","ENABLED","WCAG full audit on Welcome/Onboarding page"
"accessibility","AccessibilityTests","testLoginPageAccessibility","none","2","ENABLED","WCAG full audit on Login page"
"accessibility","AccessibilityTests","testProfileCreationAccessibility","none","3","ENABLED","WCAG full audit on Profile Creation page"
"accessibility","AccessibilityTests","testImagesHaveAltText","none","4","ENABLED","WCAG 1.1.1: All images must have alt text"
"accessibility","AccessibilityTests","testButtonsHaveAccessibleNames","none","5","ENABLED","WCAG 4.1.2: All buttons must have text or aria-label"
"accessibility","AccessibilityTests","testInputsHaveLabels","none","6","ENABLED","WCAG 1.3.1: All form inputs must have associated labels"
"accessibility","AccessibilityTests","testHeadingHierarchy","none","7","ENABLED","WCAG 1.3.1: Page should have proper heading hierarchy (H1 â†’ H2...)"
"accessibility","AccessibilityTests","testLandmarkRoles","none","8","ENABLED","WCAG 1.3.6: Page should have main, nav, and header landmark roles"
"accessibility","AccessibilityTests","testTabKeyNavigation","none","9","ENABLED","WCAG 2.1.1: All interactive elements should be keyboard navigable via Tab"
"accessibility","AccessibilityTests","testFocusIndicators","none","10","ENABLED","WCAG 2.4.7: Focusable elements should have visible focus indicator"
"accessibility","AccessibilityTests","testAriaLiveRegions","none","11","ENABLED","Dynamic content updates should use ARIA live regions for screen readers"
"accessibility","AccessibilityTests","testEscapeClosesModal","none","12","ENABLED","WCAG 2.1.2: Escape key should close modal dialogs"
"activity","ActivityHistoryTests","testActivityHistoryLoads","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Activity history page loads with events"
"activity","ActivityHistoryTests","testNotificationsVisible","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Notifications appear in notification panel"
"activity","ActivityHistoryTests","testMarkAllNotificationsRead","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Mark all notifications as read"
"ai","AIBioTests","testAIBioButtonVisible","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","AI bio generation button is visible"
"ai","AIBioTests","testAIGeneratesBio","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","AI generates bio content on click"
"ai","AIBioTests","testApplyAISuggestion","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Apply AI suggestion fills bio textarea"
"ai","AIBioTests","testClearBioAfterAI","TestGroups.REGRESSION, TestGroups.P3","0","ENABLED","Clear bio after AI generation empties textarea"
"api","APIValidationTests","testQABypassLoginReturnsTokens","none","1","ENABLED","QA_Bypass_Login must return access_token and refresh_token"
"api","APIValidationTests","testTokenIsValidJWT","none","2","ENABLED","Returned token must be a valid 3-part JWT"
"api","APIValidationTests","testTokenNotExpiredImmediately","none","3","ENABLED","Token expiry must be in the future immediately after login"
"api","APIValidationTests","testLoginResponseStructure","none","4","ENABLED","QA_Bypass_Login response must include message, status, and data fields"
"api","APIValidationTests","testEmailOTPBypassAPIResponse","none","5","ENABLED","QA_Bypass_Verify_Email_Otp must return status=true"
"api","APIValidationTests","testAPIReturnsHTTP200","none","6","ENABLED","GraphQL endpoint must return HTTP 200 for valid mutations"
"api","APIValidationTests","testLoginWithEmptyPhone","none","7","ENABLED","QA_Bypass_Login with empty phone must return error/status=false"
"api","APIValidationTests","testLoginWithWrongSecret","none","8","ENABLED","QA_Bypass_Login with wrong QA secret must fail"
"api","APIValidationTests","testAPIResponseTime","none","9","ENABLED","GraphQL API response must be under 2000ms"
"api","APIValidationTests","testTokenInLocalStorage","none","10","ENABLED","After login, access_token must be present in localStorage"
"api","APIValidationTests","testRefreshTokenInLocalStorage","none","11","ENABLED","After login, refresh_token must be present in localStorage"
"api","APIValidationTests","testTokenCookieSet","none","12","ENABLED","After login, access_token cookie must be set on domain"
"api","APIValidationTests","testNoGraphQLErrorsDuringNormalFlow","none","13","ENABLED","All GraphQL calls during normal flow must have no errors field"
"api","APIValidationTests","testSequentialAPICallsReturnValidTokens","none","14","ENABLED","Two sequential logins must each return valid distinct token sets"
"api","APIValidationTests","testCORSHeaders","none","15","ENABLED","API endpoint should have CORS headers (or be same-origin)"
"api","WebSocketTests","testWebSocketConnectionEstablished","none","1","ENABLED","WebSocket connection should be established after login"
"api","WebSocketTests","testWebSocketConnectsToChatEndpoint","none","2","ENABLED","WebSocket should connect to the real-time/chat endpoint"
"api","WebSocketTests","testSendChatMessageEmitsWSEvent","none","3","ENABLED","Sending a chat message should emit a WebSocket send event"
"api","WebSocketTests","testNoWSErrorMessages","none","4","ENABLED","WebSocket messages should not contain error frames during normal flow"
"api","WebSocketTests","testChatInputEnabledWhenConnected","none","5","ENABLED","Chat input should only be enabled when WebSocket is connected"
"api","WebSocketTests","testTypingIndicatorWSEvent","none","6","ENABLED","Typing in chat input should trigger typing indicator WS event"
"api","WebSocketTests","testWSReconnectsAfterOffline","none","7","ENABLED","WebSocket should reconnect after network interruption"
"api","WebSocketTests","testMessageCountIncreases","none","8","ENABLED","After sending a message, message count in chat should increase by 1"
"api","WebSocketTests","testEmptyMessageNotSent","none","9","ENABLED","Sending an empty message should not be allowed"
"api","WebSocketTests","testChatHistoryLoadsOnOpen","none","10","ENABLED","Opening a chat should load previous conversation history"
"auth","AccountRecoveryTests","testForgotPasswordLinkVisible","""smoke"", ""p0""","1","ENABLED","Forgot password link is visible on login screen"
"auth","AccountRecoveryTests","testEnterEmailAndSendOTP","""smoke"", ""p0""","2","ENABLED","Entering valid email sends OTP successfully"
"auth","AccountRecoveryTests","testInvalidEmailOnForgotPassword","""smoke"", ""p0""","3","ENABLED","Invalid email on forgot password shows error"
"auth","AccountRecoveryTests","testEmptyEmailOnForgotPassword","""smoke"", ""p0""","4","ENABLED","Empty email on forgot password shows error"
"auth","AccountRecoveryTests","testOTPSentConfirmation","""smoke"", ""p0""","5","ENABLED","Confirmation message shown after OTP is sent"
"auth","AccountRecoveryTests","testValidOTPVerification","""smoke"", ""p0""","6","ENABLED","Valid OTP verification succeeds on recovery"
"auth","AccountRecoveryTests","testInvalidOTPError","""smoke"", ""p0""","7","ENABLED","Invalid OTP shows error on recovery"
"auth","AccountRecoveryTests","testExpiredOTPError","""smoke"", ""p0""","8","ENABLED","Expired OTP shows appropriate error"
"auth","AccountRecoveryTests","testResendOTPButton","""smoke"", ""p0""","9","ENABLED","Resend OTP button triggers new OTP delivery"
"auth","AccountRecoveryTests","testResendOTPTimerDisplayed","""smoke"", ""p0""","10","ENABLED","Resend OTP timer is displayed after sending OTP"
"auth","AccountRecoveryTests","testNewPasswordFieldVisible","""smoke"", ""p0""","11","ENABLED","New password field is visible on reset step"
"auth","AccountRecoveryTests","testConfirmPasswordFieldVisible","""smoke"", ""p0""","12","ENABLED","Confirm password field is visible on reset step"
"auth","AccountRecoveryTests","testPasswordMismatchError","""smoke"", ""p0""","13","ENABLED","Password mismatch on reset shows error"
"auth","AccountRecoveryTests","testWeakPasswordRejected","""smoke"", ""p0""","14","ENABLED","Weak password is rejected on reset"
"auth","AccountRecoveryTests","testValidPasswordResetSuccess","""smoke"", ""p0""","15","ENABLED","Valid password reset completes successfully"
"auth","AccountRecoveryTests","testSuccessRedirectAfterReset","""smoke"", ""p0""","16","ENABLED","Successful reset redirects to login or success page"
"auth","AccountRecoveryTests","testLoginWithNewPassword","""smoke"", ""p0""","17","ENABLED","Login with new password succeeds after reset"
"auth","AccountRecoveryTests","testOldPasswordRejectedAfterReset","""smoke"", ""p0""","18","ENABLED","Old password is rejected after successful reset"
"auth","AccountRecoveryTests","testPasswordStrengthOnReset","""smoke"", ""p0""","19","ENABLED","Password strength indicator shown on reset form"
"auth","AccountRecoveryTests","testBackButtonNavigation","""smoke"", ""p0""","20","ENABLED","Back button navigates to previous step"
"auth","AccountRecoveryTests","testResetLinkExpiry","""smoke"", ""p0""","21","ENABLED","Expired reset link shows appropriate message"
"auth","AccountRecoveryTests","testMultipleOTPAttempts","""smoke"", ""p0""","22","ENABLED","Multiple incorrect OTP attempts show lockout or error"
"auth","AccountRecoveryTests","testOTPFieldsCount","""smoke"", ""p0""","23","ENABLED","OTP input has correct number of fields"
"auth","AccountRecoveryTests","testOTPAutoAdvance","""smoke"", ""p0""","24","ENABLED","OTP input auto-advances to next field"
"auth","AccountRecoveryTests","testOTPPasteSupport","""smoke"", ""p0""","25","ENABLED","OTP can be pasted into the input field"
"auth","AccountRecoveryTests","testTimerCountdown","""smoke"", ""p0""","26","ENABLED","OTP timer counts down from initial value"
"auth","AccountRecoveryTests","testTimerStopsOnVerify","""smoke"", ""p0""","27","ENABLED","OTP timer stops after successful verification"
"auth","AccountRecoveryTests","testFormClearsOnBack","""smoke"", ""p0""","28","ENABLED","Form fields clear when navigating back"
"auth","AccountRecoveryTests","testResetAPIPayload","""smoke"", ""p0"", ""api""","29","ENABLED","Password reset API payload is correctly structured"
"auth","AccountRecoveryTests","testPageTitle","""smoke"", ""p0""","30","ENABLED","Forgot password page has correct title"
"auth","AccountRecoveryTests","testMultipleRecoveryAttempts","""smoke"", ""p0""","31","ENABLED","Multiple recovery attempts are handled correctly"
"auth","AuthApiTests","testUnauthenticatedRouteReturns401","""smoke"", ""p0"", ""api""","1","ENABLED","Unauthenticated API route returns 401 or redirect"
"auth","AuthApiTests","testValidTokenAllowsAccess","""smoke"", ""p0"", ""api""","2","ENABLED","Valid auth token allows API access"
"auth","AuthApiTests","testExpiredTokenRejected","""smoke"", ""p0"", ""api""","3","ENABLED","Expired auth token is rejected"
"auth","AuthApiTests","testMalformedTokenRejected","""smoke"", ""p0"", ""api""","4","ENABLED","Malformed auth token is rejected"
"auth","AuthApiTests","testLoginAPIReturnsToken","""smoke"", ""p0"", ""api""","5","ENABLED","Login API returns an auth token on success"
"auth","AuthApiTests","testLoginAPIRejectsInvalidCredentials","""smoke"", ""p0"", ""api""","6","ENABLED","Login API rejects invalid credentials"
"auth","AuthApiTests","testRefreshTokenFlow","""smoke"", ""p0"", ""api""","7","ENABLED","Refresh token flow issues a new access token"
"auth","AuthApiTests","testLogoutInvalidatesToken","""smoke"", ""p0"", ""api""","8","ENABLED","Logout API invalidates the auth token"
"auth","AuthLoginTests","testValidUserLogin","""smoke"", ""p0""","1","ENABLED","Valid user login navigates to dashboard"
"auth","AuthLoginTests","testValidTalentLogin","""smoke"", ""p0""","2","ENABLED","Valid talent login navigates to dashboard"
"auth","AuthLoginTests","testInvalidPasswordShowsError","""smoke"", ""p0""","3","ENABLED","Invalid credentials show login error"
"auth","AuthLoginTests","testEmptyEmailValidation","""smoke"", ""p0""","4","ENABLED","Empty phone field shows validation error"
"auth","AuthLoginTests","testEmptyPasswordValidation","""smoke"", ""p0""","5","ENABLED","Empty OTP field shows validation error"
"auth","AuthLoginTests","testBothFieldsEmptyValidation","""smoke"", ""p0""","6","ENABLED","Both empty fields show validation error"
"auth","AuthLoginTests","testInvalidEmailFormat","""smoke"", ""p0""","7","ENABLED","Malformed phone number shows error"
"auth","AuthLoginTests","testSessionPersistenceAfterTabClose","""smoke"", ""p0""","8","ENABLED","Session is preserved after navigation"
"auth","AuthLoginTests","testLogoutClearsSession","""smoke"", ""p0""","9","ENABLED","Logout redirects user to landing page"
"auth","AuthLoginTests","testUnauthorizedDashboardRedirect","""smoke"", ""p0""","10","ENABLED","Unauthenticated user is redirected away from dashboard"
"auth","AuthLoginTests","testValidOTPVerification","""smoke"", ""p0""","11","ENABLED","Valid OTP verification succeeds"
"auth","AuthLoginTests","testInvalidOTPShowsError","""smoke"", ""p0""","12","ENABLED","Invalid OTP entry shows error message"
"auth","AuthLoginTests","testExpiredOTPHandling","""smoke"", ""p0""","13","ENABLED","Expired OTP is handled gracefully"
"auth","AuthLoginTests","testResendOTPWorks","""smoke"", ""p0""","14","ENABLED","Resend OTP button triggers new OTP delivery"
"auth","AuthLoginTests","testPasswordFieldMaskedByDefault","""smoke"", ""p0""","15","ENABLED","Password/OTP field is masked by default"
"auth","AuthLoginTests","testShowHidePasswordToggle","""smoke"", ""p0""","16","ENABLED","Show/hide password toggle changes field visibility"
"auth","AuthLoginTests","testUnregisteredEmailShowsError","""smoke"", ""p0""","17","ENABLED","Unregistered phone number shows error"
"auth","AuthLoginTests","testLoginAPINetworkVerification","""smoke"", ""p0"", ""api""","18","ENABLED","Login API returns a successful response"
"auth","RegistrationTests","testSuccessfulUserRegistration","""smoke"", ""p0""","1","ENABLED","Successful user registration completes flow"
"auth","RegistrationTests","testSuccessfulTalentRegistration","""smoke"", ""p0""","2","ENABLED","Successful talent registration completes flow"
"auth","RegistrationTests","testEmptyNameFieldValidation","""smoke"", ""p0""","3","ENABLED","Empty name field shows validation error"
"auth","RegistrationTests","testEmptyEmailFieldValidation","""smoke"", ""p0""","4","ENABLED","Empty email field shows validation error"
"auth","RegistrationTests","testEmptyPhoneFieldValidation","""smoke"", ""p0""","5","ENABLED","Empty phone field shows validation error"
"auth","RegistrationTests","testEmptyPasswordFieldValidation","""smoke"", ""p0""","6","ENABLED","Empty password field shows validation error"
"auth","RegistrationTests","testEmptyConfirmPasswordValidation","""smoke"", ""p0""","7","ENABLED","Empty confirm password field shows validation error"
"auth","RegistrationTests","testInvalidEmailFormatValidation","""smoke"", ""p0""","8","ENABLED","Invalid email format shows validation error"
"auth","RegistrationTests","testDuplicateEmailRejected","""smoke"", ""p0""","9","ENABLED","Duplicate email is rejected with error"
"auth","RegistrationTests","testPasswordMinLengthValidation","""smoke"", ""p0""","10","ENABLED","Password below minimum length shows error"
"auth","RegistrationTests","testPasswordConfirmMismatch","""smoke"", ""p0""","11","ENABLED","Password and confirm password mismatch shows error"
"auth","RegistrationTests","testPasswordRequiresSpecialChar","""smoke"", ""p0""","12","ENABLED","Password without special character shows error"
"auth","RegistrationTests","testOTPVerificationAfterRegistration","""smoke"", ""p0""","13","ENABLED","OTP verification step appears after registration"
