"Module","Area","Scenario","Priority","CurrentTest","EstEffortDays","Status"
"Dashboard","About Section CRUD","Add/edit/delete About bio from Dashboard About section","P1","DashboardAboutTests (exists — verify CRUD depth)","2d","MISSING"
"Dashboard","Education CRUD","Add, edit, delete Education entry with all fields (degree, institution, year, grade)","P1","DashboardCRUDTests (exists — verify coverage)","1d","MISSING"
"Dashboard","Certification CRUD","Add, edit, delete Certification with expiry date and credential URL","P1","DashboardCRUDTests (exists — verify coverage)","1d","MISSING"
"Dashboard","Projects CRUD (Dashboard)","Add, edit, delete Project with tech stack tags, GitHub/live URL, thumbnail","P1","ProjectsApiTests (API only) — need UI CRUD tests","1d","MISSING"
"Dashboard","Skills CRUD (Dashboard)","Add, edit, delete skill with proficiency level from Dashboard","P1","SkillsApiTests (API only) — need UI CRUD tests","1d","MISSING"
"Profile Photo","Update Profile Photo","Upload new photo, crop, confirm — verify avatar updates across dashboard+header","P1","UpdateProfilePhotoTests (exists — verify crop+confirm flow)","1d","MISSING"
"Location","Location Search and Set","Change location via search dropdown, verify saved on profile","P2","ChangeLocationTests (exists) + TalentAddressSearchTests","0.5d","MISSING"
"Messaging","Send/Receive Message Text","Send text message in conversation, verify it appears for both parties","P1","Missing — WebSocketMessageTests only tests WS, not send+receive UI","2d","MISSING"
"Messaging","File/Image Attachment in Chat","Send image attachment, verify it renders in conversation","P2","Not automated","1d","MISSING"
"Messaging","Message Read Receipt","Message shows read/delivered status after recipient opens chat","P2","Not automated","1d","MISSING"
"Messaging","Block/Unblock User","Block a user from chat, verify blocked state, unblock","P2","Not automated","1d","MISSING"
"Notifications","Notification List CRUD","View notification list, click to navigate, mark as read, clear all","P1","misc.NotificationTests + regression.NotificationTests (shallow)","1d","MISSING"
"Notifications","Real-time Push Notification","Trigger action on one account, verify notification appears on another in real-time","P2","Not automated — requires 2 browser sessions","3d","MISSING"
"Bookmarks","Bookmark/Save Post Full Flow","Bookmark post, navigate to saved posts, verify post appears, unbookmark","P1","LikeBookmarkTests + SavedPostTests (partial)","0.5d","MISSING"
"Bookmarks","Bookmark Persistence","Bookmark post, refresh/re-login, verify bookmark persists","P2","Not automated","0.5d","MISSING"
"Survey","Survey Question Flow","Complete all survey questions, submit, verify profile completion increases","P1","SurveyPageTests (exists — verify submission flow depth)","0.5d","MISSING"
"Subscription","Upgrade to Premium (Mock Payment)","Click Upgrade, go through payment mock flow, verify plan changes","P1","SubscriptionTests (basic page) — payment flow not automated","2d","MISSING"
"Subscription","Downgrade / Cancel Plan","Cancel premium plan, verify reverts to free","P2","Not automated","1d","MISSING"
"Switch Profile","Switch Talent→Recruiter Profile","Switch from talent to recruiter role, verify correct dashboard loads","P1","SwitchProfileTests (4 tests) — verify recruiter dashboard deep checks","1d","MISSING"
"Security","JWT Token Expiry","Use expired JWT, verify redirect to login, no data leakage","P0","SecurityTests (stub — needs implementation)","1d","MISSING"
"Security","Refresh Token Flow","Expire access token, verify app auto-refreshes via refresh token silently","P0","Not automated","1d","MISSING"
"Security","Invalid/Tampered Token","Inject tampered JWT, verify 401 response, no data returned","P0","Not automated — ApiUtils can inject tokens, just needs test","0.5d","MISSING"
"Security","IDOR (Insecure Direct Object Ref)","Access another user's private profile data via direct URL manipulation","P0","Not automated","1d","MISSING"
"Security","Session Expiry UI Handling","Allow session to expire, verify app shows re-login prompt (not crash)","P1","Not automated","0.5d","MISSING"
"Security","XSS in Input Fields","Enter <script> in bio/name/message fields, verify it renders as text not executes","P1","SecurityTests (stub)","1d","MISSING"
"Security","SQL Injection in Search","Enter SQL patterns in search input, verify no DB error leaks","P1","SecurityTests (stub) + NegativeTests (partial)","0.5d","MISSING"
"Accessibility","WCAG 2.1 AA Compliance","Run axe-core scan on key pages: login, dashboard, feed, profile","P1","AccessibilityTests (stub — needs axe-core integration)","3d","MISSING"
"Accessibility","Keyboard Navigation","Tab through all interactive elements on login, dashboard, post creation","P1","Not automated","2d","MISSING"
"Accessibility","Screen Reader Compatibility","Verify ARIA labels on buttons, inputs, modals are meaningful","P2","Not automated","2d","MISSING"
"Performance","Page Load Time Benchmark","Login page < 2s, Dashboard < 3s, Feed < 3s on 4G throttle","P1","PerformanceTests (stub — needs metrics API)","2d","MISSING"
"Performance","API Response Time","All GraphQL mutations < 500ms, queries < 300ms","P1","TalentProfileApiTests (partial) — need SLA assertions","1d","MISSING"
"Performance","WebSocket Reconnect Latency","Simulate disconnect, verify reconnect < 2s without data loss","P2","Not automated","1d","MISSING"
"Gallery","Gallery Upload Multiple Files","Upload 3+ images to gallery, verify thumbnails, order, delete one","P2","GalleryStepTests (upload) — verify multi-file + delete","1d","MISSING"
"Gallery","Gallery Explore Infinite Scroll","Scroll gallery explore page to bottom, verify next page loads automatically","P2","GalleryExploreDetailTests (partial)","0.5d","MISSING"
"Reviews","Give Review with Rating + Comment","Submit star rating + comment on a talent profile, verify visible on their dashboard","P1","ReviewTests (partial)","1d","MISSING"
"Reviews","Review Edit/Delete","Edit/delete own review, verify changes reflected","P2","Not automated","0.5d","MISSING"
"Search","Search Filter by Location","Filter search by city, verify results match location","P1","TalentAddressSearchTests (partial)","0.5d","MISSING"
"Search","Search Filter by Skills","Filter by skill tags, verify only matching profiles shown","P1","Not automated","1d","MISSING"
"Search","Search Pagination","Navigate to page 2+ of search results, verify correct offset","P2","Not automated","0.5d","MISSING"
